Time,Weight
13_52_43,0.66
13_52_44,0.68
13_52_45,0.51
13_52_46,0.63
13_52_47,0.59
13_52_48,0.61
13_52_49,0.55
13_52_50,0.54
13_52_51,0.58
13_52_52,0.51
13_52_53,0.6
13_52_54,0.6
13_52_55,0.62
13_52_57,0.61
13_52_58,0.55
13_52_59,0.66
13_53_00,0.57
13_53_01,0.62
13_53_02,0.69
13_53_03,0.63
13_53_04,0.51
13_53_05,0.59
13_53_06,0.63
13_53_07,0.61
13_53_08,0.65
13_53_09,0.52
13_53_10,0.54
13_53_11,0.62
13_53_12,0.52
13_53_13,0.62
13_53_14,0.57
13_53_15,0.57
13_53_16,0.56
13_53_17,0.58
13_53_18,0.54
13_53_19,0.56
13_53_20,0.64
13_53_21,0.57
13_53_22,0.71
13_53_23,0.49
13_53_24,0.53
13_53_25,0.57
13_53_26,0.58
13_53_27,0.67
13_53_28,0.55
13_53_29,0.58
13_53_30,0.56
13_53_31,0.61
13_53_32,0.61
13_53_33,0.61
13_53_34,0.57
13_53_36,0.54
13_53_37,0.62
13_53_38,0.53
13_53_39,0.58
